"","star_score","review_contnents","review_time","sympathy_count","unsympathy_count"
"1",10,"오늘 명량 시사회로 방금 보고 왔음. 단연코 올해의 수작임. 밑에 평론가들 캐릭터 어쩌고 하는데 류승룡 캐릭터 더 살리면 일본장수 미화한다며 입털게 분명. 평론가들 하는 짓이라곤 남이 차린 밥상 맛있네 맛없네 까대며...","2014.07.30",16809,4992
"2",10,"이순신, 그는 신이다. ","2014.07.30",12928,2266
"3",10,"군도보다 훨씬 잼있음..극장가서 꼭 보세요 ","2014.07.30",9636,2563
"4",10,"29일 시사회로 봤어요냉정하게이건 꼭 봐야해..굿 ","2014.07.30",8105,2020
"5",10,"관람객오늘 아침에 조조로 보고왔습니다. 8월4일에 해군에 입대하는데. 그전에 보기 잘한 영화같습니다. 평소에 영화 많이 좋아하고 자주보는 편인데. 무지 재미있게 봤습니다. 나라 잘지키고 오겠습니다 필승 ","2014.07.30",5964,848
"6",10,"정말 재미있네요 잘보고 왔습니다 시사회 ","2014.07.30",6863,1876
"7",9,"관람객극찬할 수는 없지만 이 정도면 내용, 영상, 연출 전부 꽤나 뛰어난 작품이지 않은가? 평론가들의 평점 6점은 도대체 어떻게 해서 나온 점수인지... 블랙펄 같은 배가 나오고 판옥선이 거북선으로 트랜스포머하는 장면이 ...","2014.07.30",5251,1422
"8",10,"국가에 버림을 받아도 의리로 지키려는 충신. 피를 흘리면서 싸우는 군인들의 투지. 두려움을 넘어선 백성들의 의지. 소중한 가족들을 잃은 민족의 한...  슬픈 명작이었습니다.... ","2014.07.30",3326,493
"9",10,"관람객보는 내내 가슴찡하고 울컥하는 진짜 최고의 영화ㅠㅠ한 순간도 놓칠 수 없는 해전씬이 특히 압권!! ","2014.07.30",3120,570
"10",10,"관람객작금의 이시점에 국가가 혼란하고 위태할수록국가를 직간접으로 책임지고 있는 리더에게 무엇이 필요한지 리더의 마음이 한치의 흔들림없이 무엇을 향하고 있어야 하는지를 세치의 혀가 아닌 온몸으로 400년전 구국의영웅이 20...","2014.07.30",2865,473
"11",10,"평론가 진짜 싫엌ㅋㅋ ㅠㅠㅠ난 진짜ㅠㅠ 감동적이었는데 ","2014.07.30",2692,601
"12",10,"""내가 제일로 두려워하는 사람은 이순신이며, 가장 미운사람도 가장 좋아하는 사람도 이순신이며, 가장 흠모하고 숭상하는 사람도 이순신이며, 가장 죽이고 싶은 사람 역시 이순신이며, 가장 차를 함께 하고 싶은 이...","2014.07.30",2344,279
"13",10,"감동을 넘어서 엄숙하기까지 했던, 말 그대로 명량 그 자체였다. 영화에 정말 공을 많이 들인 게 느껴졌고 특히 최민식님의 이순신 장군은 대사가 얼마 없는데도 그만이 주는 압도감에 스크린을 뛰어 넘어 가까이에서 살아 ...","2014.07.30",2268,335
"14",8,"관람객전쟁씬에서 입벌리고봄 ","2014.07.30",1707,317
"15",10,"관람객우리나라에서도이런해상전투씬이 나오다니 압권이다 더불어 이순신장군님의 위대함까지 다시한번 생각하게하는영화 ","2014.07.30",1632,246
"16",10,"이순신을 5만원짜리에다가 ,,, ..넣라 ","2014.07.30",1568,223
"17",10,"평론가놈들 정체가뭐냐 명량이 어떻게 군도보다 평점이낮냐 ","2014.07.30",1294,265
"18",10,"관람객안봤으면 후회할 영화! 안볼수 없었더 영화! 모두가 봤으면 하는 영화! ","2014.07.30",1285,267
"19",10,"관람객올해 최고의 수작. 성웅 이순신 그는 위대한 조선의 장수 ","2014.07.30",1235,234
"20",10,"관람객장면 하나하나가 소름이고 감동.. ㅜㅜ 이런 영화가 천만이 넘어야함 ","2014.07.30",1229,237
"21",10,"내용이 뻔해서 별로라고? 지금 대한민국의 역사를 가지고 장난질을 해야.... 재밌다는 것이냐? 머리가 뭐가 들은거지? 정말 이순신 장군님께 부끄러울 따름이다 ","2014.07.30",1129,182
"22",10,"관람객영화보는 동안 줄곧 든 생각 한가지. 정말 고생 많았을듯. 잘보고 감동받고 갑니다. ","2014.07.30",1066,192
"23",10,"관람객관람내나 감동이었습니다. ","2014.07.30",952,204
"24",10,"관람객완전 명작....무조건 봐야됩니다 한국사람이라면 ","2014.07.30",984,237
"25",10,"관람객김한민 감독님 미리 천만 축하드립니다 ㅎ완전 대박 ㅎ노량도 만들어 주십쇼 ","2014.07.30",903,186
"26",9,"관람객진부하게 영웅이 왜놈 다쓸어버리는게 아니고 굉장히 사실적이다다시 한번 위인 이순신을 생각해보는 계기가 됨 ","2014.07.30",793,166
"27",10,"진짜진짜 재미있음!! ","2014.07.30",784,175
"28",10,"내인생의 진정한 영웅  이순신!! ","2014.07.30",722,132
"29",9,"신에게는 아직 12척의 배가 있습니다!!두려움이 용기로 바뀌는 순간  울컥!!!올해본 한국영화중에 제일좋았습니다 ","2014.07.30",596,97
"30",10,"관람객후속작 기대해봅니다 거북선이 너무 보고싶어요 ","2014.07.30",581,114
