N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"60,600",100,+0.17%,100,"3,617,688","5,969,783",50.69,"11,768,887",7.52,17.07,
2,LG에너지솔루션,"523,000","15,000",+2.95%,500,"1,223,820","234,000",5.27,"413,128",213.12,10.68,
3,SK하이닉스,"89,400",600,-0.67%,"5,000","650,834","728,002",51.31,"2,005,248",7.02,16.84,
4,삼성바이오로직스,"773,000","3,000",+0.39%,"2,500","550,175","71,174",10.62,"50,528",104.94,8.21,
5,LG화학,"680,000","23,000",+3.50%,"5,000","480,028","70,592",48.32,"238,028",23.93,18.47,
6,삼성SDI,"696,000","18,000",+2.65%,"5,000","478,601","68,765",48.33,"266,785",25.09,12.52,
7,삼성전자우,"53,400",200,-0.37%,100,"439,421","822,887",71.90,"1,162,914",6.63,N/A,
8,현대차,"176,300","3,000",+1.73%,"5,000","372,930","211,532",30.18,"759,992",7.87,6.84,
9,NAVER,"208,500",500,+0.24%,100,"342,042","164,049",47.67,"823,564",36.73,106.72,
10,기아,"75,300",700,-0.92%,"5,000","305,239","405,363",36.59,"1,606,290",6.61,14.69,
11,카카오,"62,400",500,+0.81%,100,"278,001","445,514",26.15,"1,801,168",17.89,17.10,
12,POSCO홀딩스,"318,000","1,000",-0.31%,"5,000","268,937","84,571",50.55,"1,308,439",5.21,13.97,
13,KB금융,"51,300",700,+1.38%,"5,000","209,764","408,897",73.32,"1,393,009",4.54,9.80,
14,삼성물산,"110,100","1,300",-1.17%,100,"205,763","186,887",17.14,"373,136",11.63,5.40,
15,셀트리온,"145,200",800,-0.55%,"1,000","204,470","140,819",20.85,"718,718",35.77,16.04,
16,현대모비스,"212,500","1,500",-0.70%,"5,000","200,356","94,285",36.25,"295,629",8.39,6.87,
17,신한지주,"38,850",400,+1.04%,"5,000","197,663","508,785",63.48,"1,352,212",4.33,8.80,
18,LG전자,"111,200","1,500",-1.33%,"5,000","181,976","163,648",26.80,"645,258",12.72,6.32,
19,포스코케미칼,"221,000","1,000",+0.45%,500,"171,194","77,463",7.66,"1,042,181",106.45,7.92,
20,SK이노베이션,"150,100","1,800",-1.18%,"5,000","138,791","92,466",24.56,"563,506",6.36,1.91,
21,삼성생명,"68,100",800,+1.19%,500,"136,200","200,000",14.72,"247,908",19.22,4.01,
22,하나금융지주,"45,400",100,-0.22%,"5,000","134,340","295,903",71.93,"1,073,755",3.67,10.86,
23,SK,"178,600",300,+0.17%,200,"132,431","74,149",22.74,"355,548",3.87,10.19,
24,LG,"82,300",100,-0.12%,"5,000","129,459","157,301",36.36,"280,688",5.99,12.36,
25,카카오뱅크,"26,650","1,200",+4.72%,"5,000","127,049","476,731",13.68,"3,158,823",53.09,4.91,
26,KT&G,"88,700","1,000",-1.11%,"5,000","121,778","137,292",44.36,"369,057",10.48,10.74,
27,고려아연,"584,000","12,000",-2.01%,"5,000","116,001","19,863",22.75,"51,234",15.26,11.07,
28,한국전력,"18,050",110,-0.61%,"5,000","115,875","641,964",14.43,"1,200,344",-0.57,-7.99,
29,HMM,"22,550",100,-0.44%,"5,000","110,278","489,039",10.79,"1,986,428",0.96,88.62,
30,삼성전기,"144,000","2,900",-1.97%,"5,000","107,559","74,694",30.31,"412,949",11.40,13.76,
31,LG생활건강,"668,000","5,000",-0.74%,"5,000","104,330","15,618",36.25,"54,684",24.53,4.41,
32,두산에너빌리티,"16,260",0,0.00%,"5,000","103,789","638,308",12.58,"3,747,250",325.20,10.67,
33,삼성화재,"214,500","2,000",-0.92%,500,"101,619","47,375",51.35,"98,891",9.37,7.09,
34,SK텔레콤,"45,150",200,+0.44%,100,"98,803","218,833",42.95,"702,709",10.45,13.63,
35,삼성에스디에스,"125,300",400,+0.32%,500,"96,954","77,378",13.88,"163,755",10.11,8.80,
36,엔씨소프트,"434,500","3,500",+0.81%,500,"95,390","21,954",44.86,"95,390",16.14,12.62,
37,현대중공업,"106,400","2,500",-2.30%,"5,000","94,455","88,773",6.59,"284,375",-13.30,-14.87,
38,S-Oil,"80,700",600,-0.74%,"2,500","90,854","112,583",80.20,"285,492",4.35,21.76,
39,우리금융지주,"12,200",50,+0.41%,"5,000","88,823","728,061",40.72,"2,712,101",2.91,10.59,
40,카카오페이,"62,700","1,800",+2.96%,500,"83,818","133,681",42.97,"3,086,109",-316.67,-2.45,
41,대한항공,"22,750",300,-1.30%,"5,000","83,770","368,221",15.50,"1,238,129",4.53,11.60,
42,크래프톤,"169,800","2,400",-1.39%,100,"83,605","49,237",30.21,"137,375",12.39,17.86,
43,기업은행,"10,380",160,+1.57%,"5,000","82,773","797,426",13.66,"1,538,160",3.17,9.21,
44,아모레퍼시픽,"138,400","2,200",-1.56%,500,"80,954","58,493",25.58,"303,206",139.80,4.20,
45,한화솔루션,"41,600",0,0.00%,"5,000","79,572","191,278",25.82,0,27.37,8.79,
46,KT,"30,450",500,+1.67%,"5,000","79,509","261,112",42.97,"1,561,771",5.58,9.36,
47,메리츠금융지주,"45,000","1,400",+3.21%,500,"78,410","174,245",13.32,"1,217,509",5.45,22.33,
48,하이브,"185,100","2,700",+1.48%,500,"76,545","41,353",14.68,"349,426",27.98,6.83,
